SHORT_ CODE,MARYLAND
PHYS_I,PHYS121
PHYS_II,PHYS122
PHYS_I_E,PHYS161
PHYS_II_E,phys260
PHYS_I_S,PHYS171
PHYS_II_S,PHYS272
CHEM_I,CHEM131
CHEM_I_LAB,CHEM132
CHEM_II,CHEM271
CHEM_II_LAB,CHEM272
CHEM_III,CHEM231
CHEM_III_LAB,CHEM232
CHEM_IV,CHEM241
CHEM_IV_LAB,CHEM242
CHEM_I_E,CHEM135
BIOL_I,BSCI105
BIOL_II,BSCI106
MATH_I,MATH220
MATH_II,MATH221
MATH_IV,MATH240
MATH_I_E,MATH140
MATH_II_E,MATH141
MATH_III_E,MATH241
MATH_IV_E,MATH246
STAT_I,STAT100
PSYC_I,PSYC100
ECON_I,ECON200
ECON_II,ECON201
SOCL_I,SOCY100
